Country,Color1,Color2,Color3,Color4,Color5,Color6
Central African Republic,"(np.uint8(0), np.uint8(0), np.uint8(255))","(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(154), np.uint8(0))",
Republic of Congo,"(np.uint8(0), np.uint8(202), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(255), np.uint8(0), np.uint8(0))",,,
Switzerland,"(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Ivory Coast,"(np.uint8(255), np.uint8(154), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(205), np.uint8(0))",,,
Chile,"(np.uint8(0), np.uint8(57), np.uint8(166))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(213), np.uint8(43), np.uint8(30))",,,
Cameroon,"(np.uint8(0), np.uint8(122), np.uint8(94))","(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(252), np.uint8(209), np.uint8(22))",,,
China,"(np.uint8(238), np.uint8(28), np.uint8(37))",,,,,
Colombia,"(np.uint8(255), np.uint8(232), np.uint8(0))","(np.uint8(0), np.uint8(20), np.uint8(142))","(np.uint8(218), np.uint8(0), np.uint8(16))",,,
Costa Rica,"(np.uint8(0), np.uint8(0), np.uint8(180))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(217), np.uint8(0), np.uint8(0))",,,
Cuba,"(np.uint8(0), np.uint8(42), np.uint8(143))","(np.uint8(203), np.uint8(21), np.uint8(21))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Cabo Verde,"(np.uint8(8), np.uint8(24), np.uint8(115))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(222), np.uint8(57), np.uint8(41))",,,
