Country,Color1,Color2,Color3,Color4,Color5,Color6
Sweden,"(np.uint8(0), np.uint8(82), np.uint8(147))","(np.uint8(254), np.uint8(203), np.uint8(0))",,,,
Singapore,"(np.uint8(223), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Slovenia,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(191))","(np.uint8(213), np.uint8(0), np.uint8(0))",,,
Slovakia,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(238), np.uint8(28), np.uint8(37))","(np.uint8(11), np.uint8(78), np.uint8(162))",,,
Sierra Leone,"(np.uint8(0), np.uint8(205), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(205))",,,
San Marino,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(25), np.uint8(182), np.uint8(239))",,,,
Senegal,"(np.uint8(11), np.uint8(114), np.uint8(38))","(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(188), np.uint8(0), np.uint8(0))",,,
Somalia,"(np.uint8(64), np.uint8(166), np.uint8(255))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Suriname,"(np.uint8(55), np.uint8(126), np.uint8(63))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(180), np.uint8(10), np.uint8(45))",,,
South Sudan,"(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(15), np.uint8(71), np.uint8(175))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(218), np.uint8(18), np.uint8(26))","(np.uint8(7), np.uint8(137), np.uint8(48))",
Sao Tome and Principe,"(np.uint8(18), np.uint8(173), np.uint8(43))","(np.uint8(210), np.uint8(16), np.uint8(52))","(np.uint8(255), np.uint8(206), np.uint8(0))",,,
El Salvador,"(np.uint8(15), np.uint8(71), np.uint8(175))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Syria,"(np.uint8(0), np.uint8(122), np.uint8(61))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(0))",,,
Eswatini,"(np.uint8(62), np.uint8(94), np.uint8(185))","(np.uint8(255), np.uint8(217), np.uint8(0))","(np.uint8(177), np.uint8(12), np.uint8(12))","(np.uint8(0), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))",
Chad,"(np.uint8(0), np.uint8(38), np.uint8(100))","(np.uint8(254), np.uint8(203), np.uint8(0))","(np.uint8(198), np.uint8(12), np.uint8(48))",,,
Togo,"(np.uint8(216), np.uint8(0), np.uint8(0))","(np.uint8(17), np.uint8(134), np.uint8(0))","(np.uint8(255), np.uint8(227), np.uint8(0))",,,
Thailand,"(np.uint8(165), np.uint8(25), np.uint8(49))","(np.uint8(244), np.uint8(245), np.uint8(248))","(np.uint8(45), np.uint8(42), np.uint8(74))",,,
Tajikistan,"(np.uint8(204), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(102), np.uint8(0))",,,
Timor-Leste,"(np.uint8(203), np.uint8(0), np.uint8(15))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(248), np.uint8(192), np.uint8(12))",,,
Turkmenistan,"(np.uint8(0), np.uint8(132), np.uint8(61))","(np.uint8(210), np.uint8(38), np.uint8(48))",,,,
Tunisia,"(np.uint8(231), np.uint8(0), np.uint8(19))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Tonga,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(193), np.uint8(0), np.uint8(0))",,,,
TÃ¼rkiye,"(np.uint8(227), np.uint8(10), np.uint8(23))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Trinidad and Tobago,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(224), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))",,,
Tuvalu,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(1), np.uint8(33), np.uint8(105))","(np.uint8(200), np.uint8(16), np.uint8(46))","(np.uint8(0), np.uint8(159), np.uint8(202))",,
Taiwan,"(np.uint8(0), np.uint8(0), np.uint8(149))","(np.uint8(255), np.uint8(0), np.uint8(0))",,,,
Tanzania,"(np.uint8(0), np.uint8(153), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(0), np.uint8(153), np.uint8(255))",,
Ukraine,"(np.uint8(0), np.uint8(87), np.uint8(184))","(np.uint8(255), np.uint8(215), np.uint8(0))",,,,
Uganda,"(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(231), np.uint8(0))","(np.uint8(222), np.uint8(57), np.uint8(8))",,,
United States of America,"(np.uint8(25), np.uint8(47), np.uint8(93))","(np.uint8(189), np.uint8(61), np.uint8(68))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Uruguay,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(56), np.uint8(168))",,,,
Uzbekistan,"(np.uint8(0), np.uint8(153), np.uint8(181))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(30), np.uint8(181), np.uint8(58))",,,
Vatican City,"(np.uint8(255), np.uint8(224), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Saint Vincent and the Grenadines,"(np.uint8(0), np.uint8(88), np.uint8(170))","(np.uint8(244), np.uint8(241), np.uint8(0))","(np.uint8(25), np.uint8(154), np.uint8(0))",,,
Venezuela,"(np.uint8(255), np.uint8(204), np.uint8(0))","(np.uint8(0), np.uint8(36), np.uint8(125))","(np.uint8(207), np.uint8(20), np.uint8(43))",,,
Vietnam,"(np.uint8(218), np.uint8(37), np.uint8(29))","(np.uint8(255), np.uint8(255), np.uint8(0))",,,,
Vanuatu,"(np.uint8(210), np.uint8(16), np.uint8(52))","(np.uint8(0), np.uint8(0), np.uint8(0))","(np.uint8(253), np.uint8(206), np.uint8(18))","(np.uint8(0), np.uint8(149), np.uint8(67))",,
Samoa,"(np.uint8(0), np.uint8(43), np.uint8(127))","(np.uint8(206), np.uint8(17), np.uint8(38))",,,,
Kosovo,"(np.uint8(36), np.uint8(74), np.uint8(165))","(np.uint8(208), np.uint8(166), np.uint8(80))",,,,
Yemen,"(np.uint8(241), np.uint8(6), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))",,,
South Africa,"(np.uint8(0), np.uint8(120), np.uint8(71))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(225), np.uint8(57), np.uint8(45))","(np.uint8(255), np.uint8(185), np.uint8(21))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(0), np.uint8(12), np.uint8(138))"
Zambia,"(np.uint8(25), np.uint8(138), np.uint8(0))","(np.uint8(239), np.uint8(125), np.uint8(0))","(np.uint8(222), np.uint8(32), np.uint8(16))","(np.uint8(0), np.uint8(0), np.uint8(1))",,
Zimbabwe,"(np.uint8(0), np.uint8(100), np.uint8(0))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(255), np.uint8(210), np.uint8(0))","(np.uint8(212), np.uint8(0), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))",
